,target,text
2109,1, sexy st georges day pic jordantxt pic dont miss out wk saucy pics c pocketbabecouk 
3351,0,sorry cant right now happens r wat want come ill medical insurance shell able deliver basic care im currently shopping right medical insurance her til friday morning thats ill major person guide right insurance
7090,1,when bored housewives chat n date the now we btnational the rate landlines
4134,1,freemsg todays day ready im horny live town love sex fun games netcollex ltd msg reply stop end
5144,0,im office dawhere you
6469,1,in december 2012 only mobile is entitled update latest colour camera mobile free for mobile no update co free
4174,0,ok said ive got wisdom teeth hidden inside n mayb need remove
1703,0,lost kilos today
2155,0,oh god happy message days
644,0,ya nice be ready thursday
3999,1,tried reply sms video mobile mins unlimited text free camcorder reply del thurs
2402,1,babe u want dont u baby im nasty thing filthyguys fancy rude time sexy bitch slo n hard txt xxx 
3141,1,sexy sexy cum text im wet warm ready porn u fun msg free recd msgs inc vat cancel text stop
1816,0,sian aft meeting supervisor got work liao u working now
2995,0,idea guess well work hour were supposed leave usual interest figuring shit second
4743,0,ya nice be ready thursday
4484,0,true lov n care wil nevr unrecognized somone makes mistakes valuing it definitly undrstnd start missing it
7500,1,and final vote chance claim ur per worth discount online vouchers today the text yes till now savamob member offers new mobile t cs in savamob subs
95,1,free ringtone waiting collected simply text password mix verify usher britney fml po box 
143,0,swt thought nver tired little things lovable persons cozsomtimes little things occupy d biggest hearts gud 
5370,1,datingi these started sent text talk sport radio week connection think coincidence
4336,0,u sound like manky scouse boy stevelike travelling da bus homewot u inmind recreation dis eve
3008,0,ah see lingo let know wot earth finished making it
7339,1,sunshine quiz channel wkly the q team win sony dvd player u wanna know country algarve quiz in america txt series ansr am sptyrone
2345,0,okie
2886,0,attending da talks
2270,0,haha think
3491,0,huh got lesson lei n thinkin going sch earlier n tot parkin kent vale
3809,0,mm ask come 
3370,0,sorry ive gone place ill tomorrow sorry
5342,1,u r subscribed textcomp wkly comp wks free question follows subsequent wks unsubscribe txt stop 
4057,0,ha ha nan yalrigu heltiniiyo kothi chikku u shared things wit meso far didnt told body uttered word abt u ur trusting tell others plz nxt time dont use words meok chikkub
6151,1,like freemsg claim ur sms is messagestext ok file nowuse ur mates etc web join open tc remove txtx call stop
5488,0,k sent
5736,1,sms short auction won nokia win free auction user send nokia share now
4441,0,ive got tea sure flavour
494,0,class ltgt reunion
3537,0,oic cos n sis got lunch today dad went out dunno eat sch wat
3930,0,yes nigh cant aha
4230,0,bookedthe hut time off way
6540,1,mobile number won claim calls lost ring claims mobile hot cell line
1625,1, free text msgs text ok well credit account
4428,0,bank money
617,0,like v shock leh cos telling shuhui like telling leona also like dat know liao got ask abt ur reaction lor
727,0,cos lar im ba dao ok pm lor y u ask ah said u ask fri said u ask today
3340,0,babe love covers face kisses
1618,0,u download fring app
3914,0,yeah lol
6350,1,private account statement which shows now unredeemed s and i ll m points and identifier status code expires
5441,0,way sure u train worc foregate street shrub hill fun night x
3023,0,dare change ring
7127,1,review of fantastic nokia app ngage game search deck club report nokia unsubscribe alerts user reply save word
6786,1,tried contact and reply offer video call handset only anytime networks unlimited mins services unlimited client text camcorder reply
4442,0,im going orchard laready reaching soon u reaching
6125,1,service double 75 mins double 30 txt price for linerental latest upgrades orange bluetooth mobiles latest update offers
7001,1,won guaranteed won cash prize prizeto also claim 3 yr prize customer service representative
315,0,day great day too
3711,0,town v important
355,0,ltgt ish minutes minutes ago wtf
5815,1,online customer new service termination announcement recently not tried delivery unable so reschedule
3646,1,wamma laidwant real doggin locations sent direct mobile join uks largest dogging network txt dogs nownyt 
5016,0,think need cash def ready 
938,0,kkare college
4097,0,hey rite u evey mnth all
2229,0,exact intentions
4101,0,home lei
1161,0,sure neighbors didnt pick
4892,0,worse uses half way stops better complete it
76,0,thats cool gentleman treat dignity respect
6824,1,id so like to tell me deepest darkest fantasies stop texts nat rate
987,0,im office ltgt min
2982,0, wonders world ur style ur smile ur personality ur nature ur sms ur lovely friendship good morning dear
1006,0,sec think think
7013,1,iphone ou guaranteed latest nokia phone ipod active player cash prize either txt or word collect no limit ibhltd
6191,1,s new voicemail
1139,0, u wearing
3523,0,im sorry bout nite wasnt ur fault me spouse pmt sumthin u me think u shldxxxx
5591,1,new line textbuddy style chat horny band guys list ur area found free receive end search postcode download gaytextbuddycom txt request rpl stop search cnl
1187,0,goodmorning today late ltgt min
6129,1,great britain new press offer double mins double max txt best premium orange tariffs latest free camera phones for free free now tcs
7270,1,urgent landline request cash check holiday await collection t cs sae meet po order box
4475,1,want explicit sex secs ring now costs 
2854,0,doubt handle times night case
6697,1,a u meet ur dream partner w soon ur musical career ur flyng start find free life txt horo followed v ur life star y sign e g horo d aries
1357,0,u ned convince tht possible witot hurting feeling main
6317,1,new essential tones week include ab i sara jorgeshock digital smithswitch book order follow instructions open message
4415,0,stupid challenge godyou dont think write instead respond immed
300,0,need coffee run tomocant believe its time week
1107,0,good afternoon love goes day woke early online waiting hmmm italian boy online grins
4344,0,valentine game send dis msg ur friends answers r d loves u ques colour suits best
4022,0,pick rayan macleran there
3212,0,oh yeahand hav great time newquaysend postcard look girls im goneu know talkin boutxx
5663,1,lord ringsreturn king records store nowreply lotr 5 june chance card win city lotr 2 soundtrack dvd cds use stdtxtrate play reply stop motion end txts
2262,0,wot u c dust
7358,1,first chance claim ur worth discount vouchers from today mobile text shop website now savamob offers basic mobile t or cs over savamob sub
2682,0,im da bus going home
7080,1,for urgent discharge ur guaranteed award unclaimed dispute claimcode
6947,1,urgent mobile telephone number awarded prize guaranteed or landline cash claim valid
1648,0,evening v good somewhat event laden fill in dont worry head ok throat wrecked then
5024,0,holla youre need excuse creep people sarasota
3200,0,deam seeing online shop asked
3569,0,sent de webadres geting salary slip
343,0,u hiding stranger
3749,0,bit ur smile hppnss drop ur tear sorrow ur heart life heart like wil care u forevr goodfriend
2849,0,sad story man week bday wife didnt wish me parents forgot n kids went work colleagues wish entered cabin pa said happy bday boss felt special askd lunch lunch invited apartment went there said u mind bedroom minute ok sed sexy mood came minuts latr wid caken wife parents kidz friends n colleagues screaming surprise waiting sofa naked
6470,1,the hard news live chat choose girl connect live now now live cheap chat former uks biggest live service vu
6485,1,hmv bonus special pounds money genuine dollars hmv vouchers won answer easy questions then play yours now first send home hmv
3083,0,importantly discuss u only
1520,0,check wid corect speling ie sarcasm
4814,0,ltgt min thats ok
1716,0,asking u knw nt ur frnds classmates
5241,0,checking iq
981,0,started searching job dayshe great potential talent
4128,0,sorry ill later
816,0,wheres boytoy miss happened
6552,1,santa is calling little ones and like santa called xmas your eve book time
3078,0,sense foot penis
6380,1,thanks subscription ringtone is uk mobile player charged confirm no replying yes no positive reply user charged
5697,1,unlimited panasonic bluetoothhdset wireless free nokia 2 free vivo motorola eclipse free doublemins doubletxt orange mobile contract
1075,0,aight ill fb couple minutes
7126,1,message forwarded entry key weekly comp send word daily enter now mail tc live wwwtextcompcom
7569,1,urgent mobile no awarded one bonus single caller prize winning attempt contact you
7116,1,private account statement shows this unredeemed value s q i r m points identifier into code that expires
3996,0,r u continent
4131,0,youre mean
5090,0,st andre virgils cream
4066,0,dont kick coco hes
2523,0,dunno lei b eatin wif frens wan eat wait lar
5039,0,thanks talk saturday dear me cherish having brother role model
2788,0,forgot takes years shower sorry atyour phone dead yet
6075,1,xmas reward waiting upon you while computer clients randomly get picked loyal mobile customers receive reward
1486,0,i add dont care cant dude fuck hey money want it
4679,0,good thing im getting connection bw
1338,0,buying today need c meh
6716,1,thanks again ringtone order reference number mobile charged ringing tone call arrive instant customer services
1661,0,send you bec temple na
4353,0,hows pain deary r u smiling
4913,0,way tirupur
4960,0,mean left early check cos im working 
3657,0,oh really air whats talent
345,0,sister cleared round birla soft yesterday
1166,0,haha yeah now sec
1920,0,yar wanted scold u yest late already got zhong se qing you u ask ask ill w u lor n u act real
1640,1,freemsgfeelin kinda lnly hope u like company jst got cam moby wanna c pictxt reply date hlp stop 
475,0,nice line said broken heart plz dont cum times infront me wise ll trust u good 
3561,0,lol know hey great inpersonation flea forums love it
97,0,see finish loads loans pay
728,0,alright omw gotta change order 
6136,1,virtual free music week nokia tone make ur mob week on txt nokia txting days tell ur mates youtube wwwgetzedcouk blog pobox
6103,1,same urgent meeting attempt contact u prize yesterday after awaiting collection claim
6500,1,images ripped files off youtube mobile consumer content wwwclubmobycom channels polytruepixringtonesgames internet downloads
784,1,important customer service announcement premier freephone now
3364,0,can im free
3533,0,actually mobile msg m work online need send ltgt sent msg wil explain u later
2601,0,usualiam fine happy amp well
6278,1,selected stay british hotels nothing is holiday period worth time claim of london bx
4363,0,cant right second gotta hit people
5361,0,yep program youre slacking
4543,1,freemsg hi baby wow got new cam moby wanna c hot pic fancy chatim rply chat hlp 
2398,0,neshanthtel r u
4545,0,derek class
4200,1,cmon babe horny turn on txt fantasy babe im hot sticky need now replies cost cancel send stop
4577,1,congratulations ur awarded cd vouchers guaranteed free entry wkly draw txt music 
5734,1,thanks back ringtone call order call ref number mobile charged telephone tone arrive customer services
6282,1,which win urgent mobile number that awarded top prize guaranteed land line claim of valid
1478,0,keeping away like
1528,0,screaming means shouting
3254,0,kkits goodwhen going
1806,0,god blessget good sleep deari pray
1441,0,cool breeze bright sun fresh flower twittering birds waiting wish u goodmorning amp nice day 
5475,0,dhoni luck win big titleso win
5696,1,first new message
3009,1,loan purpose homeowners tenants welcome previously refused help free text help
2070,1,eerie nokia tones rply tone title eg tone dracula titles ghost addamsfa munsters exorcist twilight wwwgetzedcouk 
467,0,dont stuff roads getting slippery there
2796,0,creep now _
1004,0,ltgt think syllabus
962,1,urgent trying contact u todays draw shows won prize guaranteed land line claim 
2251,0,getting threats sales executive shifad raised complaint him official message
2494,0,released italian today cosign option
5477,0,todaysundaysunday holidayso work
1070,0,jus finish bathing
2241,0,k ill im close
7119,1,2011 pdate _ now fm double 400 mins txts 2012 orange energy tariffs latest motorola sonyericsson nokia bluetooth audio free
4348,1,u secret admirer looking contact ufind rreveal thinks ur specialcall 
5158,0,come karnan car wait till directly goto doctor
1022,1,guess what somebody know secretly fancies you wanna find is landline 
7250,1,sunshine hols claim ur of med holiday people send stamped self contained address card envelope drinks uk po pastry box bray wicklow hi eire quiz which starts early saturday the unsub stop
6309,1,id like tell deepest darkest love fantasies stop texts it nat heart rate
4993,0,im hungry buy smth home
6054,1,know so know know fancies you find who makes pobox
7052,1,free two week entry textpod play chance win ipod cash app wk to txt with pod and tscs wwwtextpodnet and custcare
4821,1,check choose babe videos smsshsexnetun fgkslpopw fgkslpo
4129,0,dont thnk wrong calling
2907,0,helloooo wake up sweet morning welcomes you enjoy this day with joy gud mrng
5911,1,free from text through messages valid december
3820,0,sorry brah finished exams
5897,1,a congratulations ur awarded 48 yrs digital supply cds virgin records mystery gift guaranteed online tscs wwwsmsconet award approx
5822,1,immediately urgent new message waiting through you
4144,1,simpsons movie released july band died start film agreen day bblue day cred day send a b c
877,0,castor need
5963,1,internet important news customer service short announcement freephone now
314,0,hi way u normal waythis real me ur uniquei hope know u rest mylife hope u find wot lost
23,0,aft finish lunch str lor ard smth lor u finish ur lunch already
7553,1,will want new video anytime network mins every text pounds another week of reply delivery tomorrow
2123,0,know result
6036,1,most important customer service announcement by freephone for now
1752,0, thinking chuckin ur red green n black trainners save carryin bac train
2594,0,tmr timin da wat cos got lesson 
1363,0,dance river do
3386,0,ok can
2261,1,splashmobile choose tones wk subscrition service weekly tones costing u credit kick enjoy
451,0,hanks lotsly
6995,1,half of price orange line rental latest free camera phones cellular free streaming phone mobilesdirect mobile free account update now
5255,0,ok sweet dreams
1033,0,happy new year man
4050,0,yeah thats impression got
5568,0,b going esplanade fr home
1361,0,yo dude guess got arrested day
7318,1,congratulations ur awarded artists cd gift vouchers occasional free entry weekly free draw for txt weekly music review tncs
6616,1,todays and voda but numbers ending selected receive award based match quoting claim rating code standard premium rates app
4149,1,amanda regard renewing upgrading current tmobile handset free charge offer ends today tel subject ts cs
6213,1,camera awarded with sipix digital camera the fromm to landline camera delivery days
7503,1,asked chatlines operator inclu free mins phone india cust servs only sed yes got dat mega plus bill dont giv shit have bailiff forty days o they want
2027,0,nah man car meant crammed people
2102,0,thk lor dunno tickets not wat u now
3610,0,joys father john john ____ joys father u ans ths hav ltgt iq tis s ias question try answer
1460,1,bought ringtone getting texts costing pound offering tones etc
273,1,hmv bonus special pounds genuine hmv vouchers won answer easy questions play now send hmv 
6894,1,u know asked dating advice service private contact you cant exactly guess who first revealed the pobox
1566,0,ltgt g saw days ago guy wants sell wifi ltgt ltgt thats blanked him
1798,0,opinion first
915,0,da waiting call
1813,0,getting tickets walsall tue th march mate getting sat ill pay treat want go txt bak terry
6297,1,21 december only apple mobile entitled update with latest colour camera google mobile free mobile update vco for free
5716,1,want funk ur live fone and weekly live new tone reply and text wwwringtonescouk original n channel best free tones for network operator rates apply
4271,0,great hope connections mode men cos know old friends lead today
6208,1,services sms services inclusive service text in credits pls service gotto web wwwcomuknet mobile login unsubscribe service stop extra services charge help
4625,0,jus finish blowing hair u finish dinner already
3584,0,sent maga money yesterday oh
1450,0,
2888,0,k ill care
6231,1,john freeringtonereply of real
2419,0,madamregret disturbancemight receive reference check dlf premaricakindly informedrgdsrakheshkerala
4581,0,hi my engagement fixd ltgt th month know shocking bthmm njan vilikkamt ws al sudn
5880,1,free calling week 1 nokia high tone don ur mob week txt long nokia tones txting tell ur dear mates wwwgetzedcouk pobox
7417,1,scored goal scored arsenal 1 henry 9 v liverpool henry scores simple shot yards pass paul bergkamp vs arsenal goal margin mins
2050,0,blackberry nigeria
79,0,here looking job tas earn there
1740,0,u guys invite 
2941,1, new message 
4242,0,detroit home snow enjoy it
5929,1,todays the vodafone the numbers ending without digits was selected received award number matches claim cup award
7100,1,sms ac sptv new jersey devil devils or detroit red wings play ice ball hockey player correct result incorrect end reply end answer sptv
4712,0,huh slow tot u reach long ago liao u days leh
5062,0,sorry ill later meeting sir
2966,0,hadya sapna aunty manege yday hogidhechinnu weak swalpa black agidhane
6084,1,want laid tonight want real living dogging locations sent direct calling ur mob join com uks largest living dogging location network open txting a moan
1961,1,guess what somebody know secretly fancies you wanna find is landline 
6954,1,guess at what somebody know secretly fancies like you men wanna find is your landline
2208,0,usually body takes care buy making sure doesnt progress pls continue talk saturday
2115,1,sunshine hols claim ur med holiday send stamped self address envelope drinks uk po box bray wicklow eire quiz starts saturday unsub stop
811,0,ssnervous ltgt 
6713,1,¹ money won because wining item number wot
134,1,sunshine quiz wkly q win sony dvd player u know country algarve in txt ansr sptyrone
5232,1,chosen receive award pls claim number collect award selected receive valued mobile customer
5732,1,important customer and service award announcement premier freephone usa now
1713,0,o turns stereo love mi phone unknown album
2700,0,oh baby house come dont new pictures facebook
457,0,look amy ure beautiful intelligent woman like u lot know u dont like like dont worry
5265,0,gud drmstake care
1457,0,u sleeping now going take haha got spys wat online checking n replying mails lor
6339,1,urgent attempt contact with u boat prize yesterday while awaiting collection claim
3854,0,dont worry day big lambu ji vl cometil enjoy batchlor party
5219,0,pls needs dat slowly vomit more
4480,0,erutupalam thandiyachu
1062,0,come kerala daysso prepared leave finalise dont plan travel visitneed finish urgent works
3918,0,eh ur laptop got stock lei mon muz come look c got not
896,0,superb thought be grateful u dont u want means u opportunity happier tomorrow u today
2482,0,kdo evening daurgent
751,1,realize years well thousands old ladies running tattoos
4137,0,foot before
1194,1,sex ur mobile free sexy pic jordan text babe wk sexy celeb pocketbabecouk pics 
5900,1,free download week nokia micro tone talk ur mob week music txt week nokia shop txting tell ur mates from wwwgetzedcouk pobox
3830,0,sure ill come bit
4185,0,need shit tomorrow know wont awake like 
1412,0,beneath pale moon light think u dreams come true goodnite amp sweet dreams
5627,1,u won nokia plus won free digital camera to u won u they win free auction send nokia 3 now
